ID;CNPJ;Razão Social;Cidade;Estado;À vista;Status
1;02662874000165;OTICAS RIVAS LTDA - ME;GOIANIA;GO;A Vista;Ativa
2;22876032000162;TABELIONATO DE NOTAS GO;ANAPOLIS;GO;A Prazo;Inativa
3;02605182000185;LIMITAR MOTORS - ME;GOIANIA;GO;A Vista;Ativa
4;02897330000121;SOL PAMONHARIA E SORVETERIA LTDA - ME;GOIANIA;GO;A Vista;Inativa
5;12237121000130;PR TREINAMENTOS & CURSOS LTDA - ME;RIO VERDE;GO;A Prazo;Ativa
6;02181395000127;RA MATERIAIS ELETRICOS LTDA - ME;GOIANIA;GO;A Prazo;Inativa
7;22103861000109;TERRA PARTICIPACOES LTDA;CURITIBA;PR;A Vista;Ativa
8;42576758000100;OFFICE DE REGISTRO DE IMOVEIS DA CAPITAL;SAO PAULO;SP;A Vista;Inativa
9;12554143000148;BOCA COMUNICACAO E MARKETING LTDA - ME;FEIRA DE SANTANA;BA;A Prazo;Inativa
10;02691186000184;HAIR BELEZA E COSMETICOS LTDA - ME;GOIANIA;GO;A Vista;Ativa
11;22907009000198;NEW ANUNCIOS E REVISTAS LTDA - EPP;SAO PAULO;SP;A Prazo;Ativa
12;02241814000192;SOFT PUBLICIDADE LTDA - ME;BRASILIA;DF;A Prazo;Ativa
13;12909859000183;PRIMOS ESTOFADOS LTDA - ME;GOIANIA;GO;A Vista;Inativa
14;12761995000155;LATIM MATERIAIS DE CONSTRUCAO LTDA - ME;OURO VERDE DE GOIAS;GO;A Vista;Inativa
15;22851787000109;SOLIDA ALIMENTOS E BEBIDAS - EIRELI - EPP;GOIANIA;GO;A Vista;Inativa
16;12924747000164;MY HOLDING ARCO LTDA;SAO PAULO;SP;A Vista;Ativa
17;12924718000100;NOSSOS HOTEIS PALMAS LTDA;PALMAS;TO;A Prazo;Ativa
18;02997048000141;FONE TECNICOS E PECAS PARA ELETRO LTDA. - ME;GOIANIA;GO;A Vista;Ativa
19;02405802000144;NEW COMERCIO DE PRESENTES LTDA - ME;GOIANIA;GO;A Prazo;Inativa
20;02600182000106;ACTION BATALHAO;PALMAS;TO;A Prazo;Inativa
21;12085381000163;VEJA VAREJISTA DE ROUPAS E PROD. PARA FESTAS LTDA - ME;ARAGUAINA;TO;A Prazo;Ativa
22;02554109000121;PUB & MARKETING LTDA - ME;APARECIDA DE GOIANIA;GO;A Vista;Ativa
23;12812932000118;NOVA LINGUA LTDA - ME;GOIANIA;GO;A Vista;Inativa
24;02982979000103;STYLE JOIAS LTDA - ME;GOIANIA;.;A Prazo;Ativa
25;12401948000102;NOVA COMUNICACAO LTDA. - ME;GOIANIA;GO;A Prazo;Inativa
26;23513367000165;TOP COMUNICACAO E PUBLICIDADE LTDA - EPP;BRASILIA;DF;A Vista;Ativa
27;23365962000187;RENOVAR REVESTIMENTOS E DECORACOES LTDA - EPP;GOIANIA;GO;A Vista;Inativa
28;02779361000127;PARTY PROMOCAO DE EVENTOS LTDA - ME;GOIANIA;GO;A Vista;Ativa
29;32168960000175;BATERIAS E TELECOMUNICACOES COMERCIO REPRESENTACAO LTDA;BRASILIA;DF;A Vista;Ativa
30;03022223000185;INSTITUTO CARE MEDICO DE HOSPITALIZACAO DOMICILIAR;BRASILIA;DF;A Vista;Inativa
